BOOTSTRAP Russell 2000 constituent snapshot - NOT a current iShares download
Provenance,"github.com/quanthero/US_Indices_Constituents Russell2000.csv (third party)"
Vintage,"ESTIMATED mid-2022 to early-2023; bounded by index membership evidence"
Vintage evidence,"contains SMR/IONQ/RKLB and ZGNX/MNTV/ZUO/ZEV; lacks CAVA/ARM/BIRK/RDDT/HOOD/TOST"
Fund Holdings as of,"Jan 01, 2023"
Replace me,"Download the real IWM holdings CSV from ishares.com in a browser and overwrite this file. See README section 'Refreshing the universe'."

Ticker,Name,Sector,Asset Class,Market Currency,Exchange
AADI,,,Equity,USD,
AAN,,,Equity,USD,
AAON,,,Equity,USD,
AAT,,,Equity,USD,
AAWW,,,Equity,USD,
ABCB,,,Equity,USD,
ABCL,,,Equity,USD,
ABG,,,Equity,USD,
ABM,,,Equity,USD,
ABR,,,Equity,USD,
ABSI,,,Equity,USD,
ABTX,,,Equity,USD,
ABUS,,,Equity,USD,
AC,,,Equity,USD,
ACA,,,Equity,USD,
ACAD,,,Equity,USD,
ACCD,,,Equity,USD,
ACCO,,,Equity,USD,
ACEL,,,Equity,USD,
ACET,,,Equity,USD,
ACHR,,,Equity,USD,
ACIW,,,Equity,USD,
ACLS,,,Equity,USD,
ACLX,,,Equity,USD,
ACMR,,,Equity,USD,
ACNB,,,Equity,USD,
ACRE,,,Equity,USD,
ACRS,,,Equity,USD,
ACT,,,Equity,USD,
ACVA,,,Equity,USD,
ADC,,,Equity,USD,
ADGI,,,Equity,USD,
ADMA,,,Equity,USD,
ADNT,,,Equity,USD,
ADPT,,,Equity,USD,
ADRO,,,Equity,USD,
ADTH,,,Equity,USD,
ADTN,,,Equity,USD,
ADUS,,,Equity,USD,
ADV,,,Equity,USD,
AEIS,,,Equity,USD,
AEL,,,Equity,USD,
AEO,,,Equity,USD,
AERI,,,Equity,USD,
AEVA,,,Equity,USD,
AFCG,,,Equity,USD,
AFMD,,,Equity,USD,
AGEN,,,Equity,USD,
AGIO,,,Equity,USD,
AGM,,,Equity,USD,
AGTI,,,Equity,USD,
AGX,,,Equity,USD,
AGYS,,,Equity,USD,
AHCO,,,Equity,USD,
AHH,,,Equity,USD,
AHT,,,Equity,USD,
AI,,,Equity,USD,
AIMC,,,Equity,USD,
AIN,,,Equity,USD,
AIP,,,Equity,USD,
AIR,,,Equity,USD,
AIRS,,,Equity,USD,
AIT,,,Equity,USD,
AIV,,,Equity,USD,
AJRD,,,Equity,USD,
AKA,,,Equity,USD,
AKR,,,Equity,USD,
AKRO,,,Equity,USD,
AKTS,,,Equity,USD,
AKYA,,,Equity,USD,
ALBO,,,Equity,USD,
ALCO,,,Equity,USD,
ALE,,,Equity,USD,
ALEC,,,Equity,USD,
ALEX,,,Equity,USD,
ALG,,,Equity,USD,
ALGT,,,Equity,USD,
ALHC,,,Equity,USD,
ALIT,,,Equity,USD,
ALKS,,,Equity,USD,
ALKT,,,Equity,USD,
ALLO,,,Equity,USD,
ALPN,,,Equity,USD,
ALRM,,,Equity,USD,
ALRS,,,Equity,USD,
ALTG,,,Equity,USD,
ALTO,,,Equity,USD,
ALTR,,,Equity,USD,
ALVR,,,Equity,USD,
ALX,,,Equity,USD,
ALXO,,,Equity,USD,
AMAL,,,Equity,USD,
AMBA,,,Equity,USD,
AMBC,,,Equity,USD,
AMCX,,,Equity,USD,
AMEH,,,Equity,USD,
AMK,,,Equity,USD,
AMKR,,,Equity,USD,
AMLX,,,Equity,USD,
AMN,,,Equity,USD,
AMNB,,,Equity,USD,
AMOT,,,Equity,USD,
AMPH,,,Equity,USD,
AMPL,,,Equity,USD,
AMPS,,,Equity,USD,
AMPY,,,Equity,USD,
AMR,,,Equity,USD,
AMRC,,,Equity,USD,
AMRK,,,Equity,USD,
AMRS,,,Equity,USD,
AMRX,,,Equity,USD,
AMSF,,,Equity,USD,
AMSWA,,,Equity,USD,
AMTB,,,Equity,USD,
AMTX,,,Equity,USD,
AMWD,,,Equity,USD,
AMWL,,,Equity,USD,
ANAB,,,Equity,USD,
ANDE,,,Equity,USD,
ANF,,,Equity,USD,
ANGO,,,Equity,USD,
ANIK,,,Equity,USD,
ANIP,,,Equity,USD,
ANTX,,,Equity,USD,
AOMR,,,Equity,USD,
AORT,,,Equity,USD,
AOSL,,,Equity,USD,
APAM,,,Equity,USD,
APEI,,,Equity,USD,
APG,,,Equity,USD,
APLD,,,Equity,USD,
APLE,,,Equity,USD,
APLS,,,Equity,USD,
APOG,,,Equity,USD,
APPF,,,Equity,USD,
APPH,,,Equity,USD,
APPN,,,Equity,USD,
APPS,,,Equity,USD,
AQUA,,,Equity,USD,
ARCB,,,Equity,USD,
ARCH,,,Equity,USD,
ARCT,,,Equity,USD,
AREN,,,Equity,USD,
ARGO,,,Equity,USD,
ARI,,,Equity,USD,
ARIS,,,Equity,USD,
ARKO,,,Equity,USD,
ARLO,,,Equity,USD,
ARNC,,,Equity,USD,
AROC,,,Equity,USD,
AROW,,,Equity,USD,
ARQT,,,Equity,USD,
ARR,,,Equity,USD,
ARRY,,,Equity,USD,
ARTNA,,,Equity,USD,
ARVN,,,Equity,USD,
ARWR,,,Equity,USD,
ASAN,,,Equity,USD,
ASB,,,Equity,USD,
ASC,,,Equity,USD,
ASGN,,,Equity,USD,
ASIX,,,Equity,USD,
ASLE,,,Equity,USD,
ASO,,,Equity,USD,
ASPN,,,Equity,USD,
ASTE,,,Equity,USD,
ASTR,,,Equity,USD,
ATCX,,,Equity,USD,
ATEC,,,Equity,USD,
ATEN,,,Equity,USD,
ATER,,,Equity,USD,
ATEX,,,Equity,USD,
ATGE,,,Equity,USD,
ATHA,,,Equity,USD,
ATI,,,Equity,USD,
ATIP,,,Equity,USD,
ATKR,,,Equity,USD,
ATLC,,,Equity,USD,
ATNI,,,Equity,USD,
ATOM,,,Equity,USD,
ATRA,,,Equity,USD,
ATRC,,,Equity,USD,
ATRI,,,Equity,USD,
ATRO,,,Equity,USD,
ATSG,,,Equity,USD,
AUB,,,Equity,USD,
AUD,,,Equity,USD,
AUPH,,,Equity,USD,
AURA,,,Equity,USD,
AVA,,,Equity,USD,
AVAH,,,Equity,USD,
AVAV,,,Equity,USD,
AVD,,,Equity,USD,
AVDX,,,Equity,USD,
AVID,,,Equity,USD,
AVIR,,,Equity,USD,
AVNS,,,Equity,USD,
AVNT,,,Equity,USD,
AVNW,,,Equity,USD,
AVO,,,Equity,USD,
AVPT,,,Equity,USD,
AVTE,,,Equity,USD,
AVXL,,,Equity,USD,
AVYA,,,Equity,USD,
AWR,,,Equity,USD,
AX,,,Equity,USD,
AXGN,,,Equity,USD,
AXL,,,Equity,USD,
AXNX,,,Equity,USD,
AXSM,,,Equity,USD,
AXTI,,,Equity,USD,
AZZ,,,Equity,USD,
B,,,Equity,USD,
BALY,,,Equity,USD,
BANC,,,Equity,USD,
BAND,,,Equity,USD,
BANF,,,Equity,USD,
BANR,,,Equity,USD,
BARK,,,Equity,USD,
BASE,,,Equity,USD,
BATRA,,,Equity,USD,
BATRK,,,Equity,USD,
BBBY,,,Equity,USD,
BBCP,,,Equity,USD,
BBIG,,,Equity,USD,
BBIO,,,Equity,USD,
BBLN,,,Equity,USD,
BBSI,,,Equity,USD,
BBUC.TO,,,Equity,USD,
BBW,,,Equity,USD,
BCBP,,,Equity,USD,
BCC,,,Equity,USD,
BCML,,,Equity,USD,
BCO,,,Equity,USD,
BCOR,,,Equity,USD,
BCOV,,,Equity,USD,
BCPC,,,Equity,USD,
BCRX,,,Equity,USD,
BDC,,,Equity,USD,
BDN,,,Equity,USD,
BE,,,Equity,USD,
BEAM,,,Equity,USD,
BECN,,,Equity,USD,
BFC,,,Equity,USD,
BFH,,,Equity,USD,
BFLY,,,Equity,USD,
BFS,,,Equity,USD,
BFST,,,Equity,USD,
BGCP,,,Equity,USD,
BGFV,,,Equity,USD,
BGRY,,,Equity,USD,
BGS,,,Equity,USD,
BH,,,Equity,USD,
BHB,,,Equity,USD,
BHE,,,Equity,USD,
BHG,,,Equity,USD,
BHIL,,,Equity,USD,
BHLB,,,Equity,USD,
BHR,,,Equity,USD,
BHVN,,,Equity,USD,
BIG,,,Equity,USD,
BIGC,,,Equity,USD,
BIPC,,,Equity,USD,
BIRD,,,Equity,USD,
BJRI,,,Equity,USD,
BKD,,,Equity,USD,
BKE,,,Equity,USD,
BKH,,,Equity,USD,
BKKT,,,Equity,USD,
BKU,,,Equity,USD,
BL,,,Equity,USD,
BLBD,,,Equity,USD,
BLDE,,,Equity,USD,
BLFS,,,Equity,USD,
BLFY,,,Equity,USD,
BLI,,,Equity,USD,
BLKB,,,Equity,USD,
BLMN,,,Equity,USD,
BLND,,,Equity,USD,
BLNK,,,Equity,USD,
BLUE,,,Equity,USD,
BLX,,,Equity,USD,
BMBL,,,Equity,USD,
BMI,,,Equity,USD,
BMRC,,,Equity,USD,
BNFT,,,Equity,USD,
BNGO,,,Equity,USD,
BNL,,,Equity,USD,
BOC,,,Equity,USD,
BODY,,,Equity,USD,
BOOM,,,Equity,USD,
BOOT,,,Equity,USD,
BORR.OL,,,Equity,USD,
BOWL,,,Equity,USD,
BOX,,,Equity,USD,
BOXD,,,Equity,USD,
BPMC,,,Equity,USD,
BRBR,,,Equity,USD,
BRBS,,,Equity,USD,
BRC,,,Equity,USD,
BRCC,,,Equity,USD,
BRDS,,,Equity,USD,
BRG,,,Equity,USD,
BRKL,,,Equity,USD,
BRMK,,,Equity,USD,
BRP,,,Equity,USD,
BRSP,,,Equity,USD,
BRT,,,Equity,USD,
BRY,,,Equity,USD,
BSIG,,,Equity,USD,
BSRR,,,Equity,USD,
BTAI,,,Equity,USD,
BTRS,,,Equity,USD,
BTU,,,Equity,USD,
BUSE,,,Equity,USD,
BV,,,Equity,USD,
BVH,,,Equity,USD,
BVS,,,Equity,USD,
BW,,,Equity,USD,
BWB,,,Equity,USD,
BWFG,,,Equity,USD,
BXC,,,Equity,USD,
BXMT,,,Equity,USD,
BY,,,Equity,USD,
BYND,,,Equity,USD,
BZH,,,Equity,USD,
CAC,,,Equity,USD,
CAD,,,Equity,USD,
CADE,,,Equity,USD,
CAKE,,,Equity,USD,
CAL,,,Equity,USD,
CALM,,,Equity,USD,
CALX,,,Equity,USD,
CANO,,,Equity,USD,
CARA,,,Equity,USD,
CARE,,,Equity,USD,
CARG,,,Equity,USD,
CARS,,,Equity,USD,
CASA,,,Equity,USD,
CASH,,,Equity,USD,
CASS,,,Equity,USD,
CATC,,,Equity,USD,
CATO,,,Equity,USD,
CATY,,,Equity,USD,
CBAN,,,Equity,USD,
CBL,,,Equity,USD,
CBNK,,,Equity,USD,
CBRL,,,Equity,USD,
CBT,,,Equity,USD,
CBTX,,,Equity,USD,
CBU,,,Equity,USD,
CBZ,,,Equity,USD,
CCB,,,Equity,USD,
CCBG,,,Equity,USD,
CCCC,,,Equity,USD,
CCF,,,Equity,USD,
CCNE,,,Equity,USD,
CCO,,,Equity,USD,
CCOI,,,Equity,USD,
CCRN,,,Equity,USD,
CCS,,,Equity,USD,
CCSI,,,Equity,USD,
CCXI,,,Equity,USD,
CDE,,,Equity,USD,
CDEV,,,Equity,USD,
CDLX,,,Equity,USD,
CDMO,,,Equity,USD,
CDNA,,,Equity,USD,
CDR,,,Equity,USD,
CDRE,,,Equity,USD,
CDXS,,,Equity,USD,
CEIX,,,Equity,USD,
CELH,,,Equity,USD,
CELU,,,Equity,USD,
CENN,,,Equity,USD,
CENT,,,Equity,USD,
CENTA,,,Equity,USD,
CENX,,,Equity,USD,
CERE,,,Equity,USD,
CERS,,,Equity,USD,
CEVA,,,Equity,USD,
CFB,,,Equity,USD,
CFFN,,,Equity,USD,
CGEM,,,Equity,USD,
CHCO,,,Equity,USD,
CHCT,,,Equity,USD,
CHEF,,,Equity,USD,
CHGG,,,Equity,USD,
CHRD,,,Equity,USD,
CHRS,,,Equity,USD,
CHS,,,Equity,USD,
CHUY,,,Equity,USD,
CHX,,,Equity,USD,
CIFR,,,Equity,USD,
CIM,,,Equity,USD,
CINC,,,Equity,USD,
CIO,,,Equity,USD,
CIR,,,Equity,USD,
CISO,,,Equity,USD,
CIVB,,,Equity,USD,
CIVI,,,Equity,USD,
CIX,,,Equity,USD,
CLAR,,,Equity,USD,
CLBK,,,Equity,USD,
CLDT,,,Equity,USD,
CLDX,,,Equity,USD,
CLFD,,,Equity,USD,
CLNE,,,Equity,USD,
CLOV,,,Equity,USD,
CLPR,,,Equity,USD,
CLSK,,,Equity,USD,
CLW,,,Equity,USD,
CMAX,,,Equity,USD,
CMBM,,,Equity,USD,
CMC,,,Equity,USD,
CMCO,,,Equity,USD,
CMLS,,,Equity,USD,
CMP,,,Equity,USD,
CMPO,,,Equity,USD,
CMPR,,,Equity,USD,
CMRE,,,Equity,USD,
CMRX,,,Equity,USD,
CMTG,,,Equity,USD,
CMTL,,,Equity,USD,
CNDT,,,Equity,USD,
CNK,,,Equity,USD,
CNMD,,,Equity,USD,
CNNE,,,Equity,USD,
CNO,,,Equity,USD,
CNOB,,,Equity,USD,
CNS,,,Equity,USD,
CNSL,,,Equity,USD,
CNTY,,,Equity,USD,
CNVY,,,Equity,USD,
CNX,,,Equity,USD,
CNXN,,,Equity,USD,
COCO,,,Equity,USD,
CODI,,,Equity,USD,
COGT,,,Equity,USD,
COHU,,,Equity,USD,
COKE,,,Equity,USD,
COLB,,,Equity,USD,
COLL,,,Equity,USD,
COMM,,,Equity,USD,
COMP,,,Equity,USD,
CONN,,,Equity,USD,
COOK,,,Equity,USD,
COOP,,,Equity,USD,
CORT,,,Equity,USD,
CORZ,,,Equity,USD,
COUR,,,Equity,USD,
COWN,,,Equity,USD,
CPE,,,Equity,USD,
CPF,,,Equity,USD,
CPK,,,Equity,USD,
CPRX,,,Equity,USD,
CPSI,,,Equity,USD,
CPSS,,,Equity,USD,
CRAI,,,Equity,USD,
CRBU,,,Equity,USD,
CRC,,,Equity,USD,
CRD.A,,,Equity,USD,
CRDO,,,Equity,USD,
CRGE,,,Equity,USD,
CRGY,,,Equity,USD,
CRK,,,Equity,USD,
CRMT,,,Equity,USD,
CRNC,,,Equity,USD,
CRNX,,,Equity,USD,
CROX,,,Equity,USD,
CRS,,,Equity,USD,
CRSR,,,Equity,USD,
CRVL,,,Equity,USD,
CSGS,,,Equity,USD,
CSII,,,Equity,USD,
CSR,,,Equity,USD,
CSTE,,,Equity,USD,
CSTL,,,Equity,USD,
CSTM,,,Equity,USD,
CSTR,,,Equity,USD,
CSV,,,Equity,USD,
CSWI,,,Equity,USD,
CTBI,,,Equity,USD,
CTIC,,,Equity,USD,
CTKB,,,Equity,USD,
CTLP,,,Equity,USD,
CTO,,,Equity,USD,
CTOS,,,Equity,USD,
CTRE,,,Equity,USD,
CTRN,,,Equity,USD,
CTS,,,Equity,USD,
CTT,,,Equity,USD,
CTV,,,Equity,USD,
CUBI,,,Equity,USD,
CURO,,,Equity,USD,
CURV,,,Equity,USD,
CUTR,,,Equity,USD,
CVBF,,,Equity,USD,
CVCO,,,Equity,USD,
CVET,,,Equity,USD,
CVGW,,,Equity,USD,
CVI,,,Equity,USD,
CVLG,,,Equity,USD,
CVLT,,,Equity,USD,
CVT,,,Equity,USD,
CWEN,,,Equity,USD,
CWEN.A,,,Equity,USD,
CWH,,,Equity,USD,
CWK,,,Equity,USD,
CWST,,,Equity,USD,
CWT,,,Equity,USD,
CXW,,,Equity,USD,
CYBE,,,Equity,USD,
CYH,,,Equity,USD,
CYRX,,,Equity,USD,
CYTK,,,Equity,USD,
CYXT,,,Equity,USD,
CZNC,,,Equity,USD,
DAN,,,Equity,USD,
DAWN,,,Equity,USD,
DBD,,,Equity,USD,
DBI,,,Equity,USD,
DBRG,,,Equity,USD,
DC,,,Equity,USD,
DCGO,,,Equity,USD,
DCO,,,Equity,USD,
DCOM,,,Equity,USD,
DCPH,,,Equity,USD,
DCT,,,Equity,USD,
DDD,,,Equity,USD,
DDS,,,Equity,USD,
DEA,,,Equity,USD,
DEN,,,Equity,USD,
DENN,,,Equity,USD,
DFH,,,Equity,USD,
DFIN,,,Equity,USD,
DGICA,,,Equity,USD,
DGII,,,Equity,USD,
DHC,,,Equity,USD,
DHIL,,,Equity,USD,
DHT,,,Equity,USD,
DHX,,,Equity,USD,
DIBS,,,Equity,USD,
DICE,,,Equity,USD,
DIN,,,Equity,USD,
DIOD,,,Equity,USD,
DJCO,,,Equity,USD,
DK,,,Equity,USD,
DLTH,,,Equity,USD,
DLX,,,Equity,USD,
DM,,,Equity,USD,
DMRC,,,Equity,USD,
DNLI,,,Equity,USD,
DNMR,,,Equity,USD,
DNOW,,,Equity,USD,
DNUT,,,Equity,USD,
DO,,,Equity,USD,
DOC,,,Equity,USD,
DOCN,,,Equity,USD,
DOMA,,,Equity,USD,
DOMO,,,Equity,USD,
DOOR,,,Equity,USD,
DORM,,,Equity,USD,
DOUG,,,Equity,USD,
DRH,,,Equity,USD,
DRQ,,,Equity,USD,
DSEY,,,Equity,USD,
DSGN,,,Equity,USD,
DSGR,,,Equity,USD,
DSKE,,,Equity,USD,
DSP,,,Equity,USD,
DTC,,,Equity,USD,
DUOL,,,Equity,USD,
DVAX,,,Equity,USD,
DX,,,Equity,USD,
DXLG,,,Equity,USD,
DXPE,,,Equity,USD,
DY,,,Equity,USD,
DYN,,,Equity,USD,
DZSI,,,Equity,USD,
EAF,,,Equity,USD,
EAT,,,Equity,USD,
EB,,,Equity,USD,
EBC,,,Equity,USD,
EBF,,,Equity,USD,
EBIX,,,Equity,USD,
EBS,,,Equity,USD,
EBTC,,,Equity,USD,
ECOM,,,Equity,USD,
ECPG,,,Equity,USD,
ECVT,,,Equity,USD,
EDIT,,,Equity,USD,
EE,,,Equity,USD,
EFC,,,Equity,USD,
EFSC,,,Equity,USD,
EGAN,,,Equity,USD,
EGBN,,,Equity,USD,
