ticker,name,sector,weight_pct,method
UMBF,UMB FINANCIAL,Financials,0.34295,book
FROG,JFROG,Information Technology,0.34225,fcff
MOGA,MOOG INC CLASS A,Industrials,0.34076,fcff
GKOS,GLAUKOS,Health Care,0.3286,fcff
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,0.31702,fcff
BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care,0.30684,fcff
CYTK,CYTOKINETICS,Health Care,0.30183,fcff
ONB,OLD NATIONAL BANCORP,Financials,0.29124,book
KRYS,KRYSTAL BIOTECH,Health Care,0.29053,fcff
FCFS,FIRSTCASH HOLDINGS INC,Financials,0.28863,book
TWST,TWIST BIOSCIENCE,Health Care,0.28799,fcff
SM,SM ENERGY,Energy,0.28368,fcff
PTGX,PROTAGONIST THERAPEUTICS,Health Care,0.28151,fcff
CTRE,CARETRUST REIT,Real Estate,0.28137,none
CRNX,CRINETICS PHARMACEUTICALS,Health Care,0.27842,fcff
IDCC,INTERDIGITAL INC,Information Technology,0.27779,fcff
PRAX,PRAXIS PRECISION MEDICINES,Health Care,0.27603,fcff
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,0.27456,none
VSAT,VIASAT INC,Information Technology,0.27147,fcff
SSRM,SSR MINING,Materials,0.26237,fcff
HUT,HUT CORP,Information Technology,0.26074,fcff
HQY,HEALTHEQUITY,Health Care,0.26036,fcff
JXN,JACKSON FINANCIAL CLASS A,Financials,0.25974,book
ALKS,ALKERMES,Health Care,0.25177,fcff
PCVX,VAXCYTE,Health Care,0.25107,fcff
COMP,COMPASS INC CLASS A,Real Estate,0.25059,none
TGTX,TG THERAPEUTICS,Health Care,0.24865,fcff
CMC,COMMERCIAL METALS,Materials,0.24343,fcff
FLR,FLUOR CORP,Industrials,0.24278,fcff
SNEX,STONEX GROUP INC,Financials,0.2389,book
KYMR,KYMERA THERAPEUTICS,Health Care,0.23436,fcff
TXG,10X GENOMICS CLASS A,Health Care,0.23407,fcff
OSCR,OSCAR HEALTH CLASS A,Financials,0.2338,book
TEX,TEREX,Industrials,0.23239,fcff
ESE,ESCO TECHNOLOGIES,Industrials,0.23223,fcff
SLAB,SILICON LABORATORIES,Information Technology,0.23004,fcff
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,0.22921,fcff
ACA,ARCOSA,Industrials,0.22818,fcff
FSS,FEDERAL SIGNAL CORP,Industrials,0.22777,fcff
TRNO,TERRENO REALTY REIT,Real Estate,0.22702,none
PBF,PBF ENERGY CLASS A,Energy,0.22366,fcff
ZETA,ZETA GLOBAL HOLDINGS CLASS A,Information Technology,0.22005,fcff
VLY,VALLEY NATIONAL,Financials,0.21971,book
ENS,ENERSYS,Industrials,0.21964,fcff
MATX,MATSON INC,Industrials,0.21758,fcff
QLYS,QUALYS,Information Technology,0.21574,fcff
RIOT,RIOT PLATFORMS,Information Technology,0.21538,fcff
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,0.21356,none
SYRE,SPYRE THERAPEUTICS INC,Health Care,0.21333,fcff
MAC,MACERICH REIT,Real Estate,0.21331,none
SWX,SOUTHWEST GAS HOLDINGS,Utilities,0.21024,fcff
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,0.21009,fcff
LNTH,LANTHEUS HOLDINGS,Health Care,0.20856,fcff
UBSI,UNITED BANKSHARES,Financials,0.2074,book
PLXS,PLEXUS CORP,Information Technology,0.20711,fcff
